,mp_weight,bm_weight,active,sector,block
ABNB,0.09,0.154,-0.06,Consumer Discretionary,콜
VRSK,0.09,0.033,0.06,Industrials,콜
FANG,0.09,0.078,0.01,Energy,콜
PCAR,0.09,0.092,-0.0,Industrials,콜
PDD,0.09,0.0,0.09,BM외(S&P500 미편입),콜
FAST,0.09,0.079,0.01,Industrials,콜
FCX,0.09,0.151,-0.06,Materials,복제
TTD,0.09,0.008,0.08,Communication Services,콜
ABT,0.09,0.273,-0.18,Health Care,복제
ROP,0.09,0.055,0.03,Information Technology,콜
REGN,0.09,0.115,-0.03,Health Care,콜
IDXX,0.09,0.06,0.03,Health Care,콜
TEAM,0.09,0.0,0.09,BM외(S&P500 미편입),콜
CPRT,0.09,0.042,0.05,Industrials,콜
ODFL,0.09,0.057,0.03,Industrials,콜
KDP,0.09,0.06,0.03,Consumer Staples,콜
LULU,0.09,0.019,0.07,Consumer Discretionary,콜
MDB,0.09,0.0,0.09,BM외(S&P500 미편입),콜
MDLZ,0.09,0.112,-0.02,Consumer Staples,콜
SO,0.08,0.14,-0.06,Utilities,복제
EQIX,0.08,0.141,-0.06,Real Estate,복제
DUK,0.08,0.128,-0.05,Utilities,복제
DHR,0.07,0.204,-0.13,Health Care,복제
SHW,0.07,0.114,-0.04,Materials,복제
COP,0.07,0.216,-0.15,Energy,복제
PFE,0.07,0.215,-0.14,Health Care,복제
MPC,0.05,0.137,-0.09,Energy,복제
MO,0.04,0.154,-0.11,Consumer Staples,복제
