,0
days_to_liq_wavg,0.0024605404513596495
days_to_liq_max,0.007858409592255715
div_yield,0.6019576084783043
nd_ebitda,0.49349104188695037
short_pct,1.6483463334733055
downside_dev,0.24578952297600387
sortino,1.8717308715077354
calmar,1.8910848570443866
up_capture,2.6035040733716315
dn_capture,1.1045540824554583
beta_up,1.3199205619718435
beta_dn,1.4075717214826522
avg_corr,0.1934119581200288
wavg_vol,0.3904931530578344
port_vol,0.23720015583160023
diversification,0.39256257382707693
p_ann,0.4972518380473463
b_ann,0.21873512366294423
mdd,-0.2629452804272945
mdd_b,-0.1875523955363283
worst_day,-0.07078811628803294
worst_month,-0.16616347787076652
