,0
te,0.31218139419133906
beta,1.8951522365532347
vol,0.4280650206067285
dsd,0.428718734642891
mdd,-0.2521292304599809
mdd_b,-0.12052707819031105
var95,-0.04132418548078407
var99,-0.06580746004567431
p_ann,1.7248398423356042
b_ann,0.27005972725637806
up_cap,2.5290222928621624
dn_cap,1.9198454534993918
beta_up,1.633312729187206
beta_dn,1.7609572159401277
avg_corr,0.4299387442355668
wavg_vol,0.569144402627565
worst_day,-0.10380490337781965
worst_21,-0.2314850303061122
hhi,0.06145
top10,67.5
fwd_pe,12.175110809499998
psr,15.776565923
opm,0.38557060170000007
gpm,0.6310150477
roe,0.6824673819487178
growth_2y,0.7537538069262505
target_upside,0.3931520879554414
n_analysts,32.805
div_yield,0.5173972602739726
nd_ebitda,1.2562430502245119
short_pct,0.047944499765999994
adv_wavg,13952052303.8423
bm_out,19.5
cpu_uw,-1.6297568967235996
tsla_uw,-1.8610823996096628
spcx_mc_share,2.4555612796685984
sortino,3.936473277150704
calmar,6.84109430385692
diversification,0.24787976719004234
sharpe,3.9424848121053815
