ticker,price,vol_1y,vol_3y,pe_now,pe_hist_med,pe_hist_p25,pe_hist_p75,ma50,ma200,px_vs_ma50,px_vs_ma200,resistance,support,upside_to_resist,downside_to_support,hi_52w,lo_52w,ps_hist_med,ps_now,val_basis,fwd_growth,growth_1y,growth_2y,target_median,target_mean,target_upside,n_analysts,growth,pe_revert_full,exp_ret_none,exp_ret_half,exp_ret_full
AAPL,310.3399963378906,0.2503054462241553,0.2686760888505567,32.535477,28.036079713550393,25.476833412182895,30.65112813551822,310.2930651855469,281.23501052856443,0.0001512478286154,0.1034899095764254,314.92840576171875,274.91290283203125,0.0147851049751008,-0.1141557450664116,339.78692626953125,225.9553375244141,,,fwd_pe,0.0938658437372841,0.0809,0.130331868987271,335.0,324.45282,0.0794612488016535,39.0,0.130331868987271,-0.13829203384507338,0.130331868987271,0.05217392244619479,-0.025984024094881764
ABBV,264.5199890136719,0.2637155800173293,0.2458569783443868,16.24614,53.691855598898485,21.832475043709643,75.25777052223431,248.06460723876953,224.0369715118408,0.0663350647158769,0.1806979322593256,265.9700012207031,210.7786102294922,0.0054816734736682,-0.2031656623931057,265.9700012207031,195.98501586914065,,,fwd_pe,3.59944085179618,0.16209999,0.2760101880471017,280.0,276.5862,0.0585211387768809,24.0,0.2760101880471017,0.5,0.27601018804710176,0.5950127350588772,0.9140152820706526
ABNB,190.2100067138672,0.3430795308236669,0.3656601102028839,30.984732,36.98540197961812,27.765206756963053,64.85752939750644,154.7845004272461,136.51194999694823,0.2288698557597004,0.3933579200803987,190.2100067138672,137.57000732421875,0.0,-0.2767467406109436,190.2100067138672,111.54000091552734,,,fwd_pe,0.4047666444234534,0.16149999,0.2389601819696238,177.0,176.75641,-0.0694495885999257,40.0,0.2389601819696238,0.19366538266711864,0.23896018196962387,0.3589320308448589,0.47890387972009396
ABT,116.66999816894533,0.2653636045820361,0.2257737743301182,19.237017,28.13377564722491,20.65101987913552,32.19789668826238,100.20677200317382,105.84403549194336,0.1642925506596506,0.1022822176675795,128.2073516845703,104.64248657226562,0.098888777720886,-0.103090012732006,133.5335235595703,81.97532653808594,,,fwd_pe,0.9627410008526788,0.098900005,0.0851933745624209,120.0,120.2,0.0285420577982065,25.0,0.0851933745624209,0.46248119691451683,0.08519337456242093,0.33613413993808705,0.587074905313753
ADBE,276.2699890136719,0.3915705550882478,0.3583591093974516,10.049693,38.690796106229655,27.810701864019865,44.17228448691173,233.89719818115233,270.13349983215335,0.1811598905930544,0.0227165056734222,283.6199951171875,225.3500061035156,0.0266044318811331,-0.1843123934378422,367.4599914550781,193.41000366210935,,,fwd_pe,0.5672970308645251,0.1261,0.1457823076248356,250.0,270.60587,-0.0950881024300176,35.0,0.1457823076248356,0.5,0.14578230762483568,0.43222788453104455,0.7186734614372536
ADI,371.1700134277344,0.3521945487629873,0.3511735482988116,22.7199,33.01928420293899,27.037749123720637,53.49654565777695,387.7898010253906,341.3899961090088,-0.0428577222859144,0.0872316636636785,445.4800109863281,302.2720642089844,0.200204744107276,-0.1856236946042092,445.4800109863281,223.0958709716797,,,fwd_pe,0.937933485622736,0.2718,0.4481531773816132,461.0,470.25,0.2420184371649281,30.0,0.4481531773816132,0.45331996192496415,0.4481531773816132,0.7763915489976876,1.1046299206137618
ADP,283.010009765625,0.271039712049845,0.2171316822505572,21.122608,26.278661371587397,25.12605692669477,28.542415030255825,250.6283999633789,233.3609381866455,0.129201677890365,0.2127565648509239,299.62353515625,243.58445739746097,0.0587029603807423,-0.1393079785439899,299.62353515625,187.36843872070312,,,fwd_pe,0.2136268400189978,0.093100004,0.0976774040915835,286.0,287.26666,0.0105649628324142,18.0,0.0976774040915835,0.24410117214632754,0.09767740409158354,0.23164957458023028,0.365621745068877
ADSK,254.4199981689453,0.3610622499329905,0.3082940933292691,17.880825,52.13309287049442,49.05517110000931,56.81596686689621,220.74539978027343,249.2188498687744,0.1525494910525477,0.020869802998086,264.1199951171875,218.63999938964844,0.0381259217752254,-0.140633594201732,326.7900085449219,187.72000122070312,,,fwd_pe,1.080211847048444,0.1296,0.1679915319043163,307.5,314.57352,0.2086314056012506,35.0,0.1679915319043163,0.5,0.16799153190431637,0.4599894148803956,0.7519872978564746
AEP,121.9800033569336,0.1914907298316492,0.1950817874225204,17.79909,16.773136606756246,15.35509985846442,18.01896880252795,129.9186541748047,125.03905811309816,-0.0611047802818961,-0.0244647936598949,135.13232421875,111.14847564697266,0.1078235817335613,-0.0887975685511838,137.64207458496094,103.2373504638672,,,fwd_pe,0.1775187945001684,0.0749,0.0714163515295807,142.5,144.0,0.1682242669154674,19.0,0.0714163515295807,-0.057640777884922945,0.0714163515295807,0.04053771555918528,0.009659079588789643
ALAB,277.5299987792969,0.977442010646534,0.9441623460612204,43.408287,99.82377036673124,72.33606713717101,138.26639456827132,349.12089874267576,219.2878998184204,-0.2050604825468953,0.2655965012620549,483.0199890136719,139.2899932861328,0.7404244266861724,-0.4981083345988054,483.0199890136719,100.2699966430664,,,fwd_pe,2.2454210874527254,0.5856,0.8640593851335177,425.0,389.9527,0.5313659851884238,23.0,0.5,0.5,0.5,0.875,1.25
