ticker,Security,GICS Sector,GICS Sub-Industry,mktcap,price,bm_weight
DVA,DaVita,Health Care,Health Care Services,11260699648.0,176.5,0.015206189760996818
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,11178139648.0,43.69,0.015094702636225588
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,10973870080.0,109.15,0.014818861710661383
FDS,FactSet,Financials,Financial Exchanges & Data,10858516480.0,305.31,0.014663090862841491
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,10523219968.0,14.75,0.014210314166272916
UHS,Universal Health Services,Health Care,Health Care Facilities,10396400640.0,176.4,0.014039060263122004
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,10275150848.0,117.54,0.013875327333262636
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,10236634112.0,99.41,0.013823315219015878
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,10104275968.0,63.31,0.013644581826154733
PODD,Insulet Corporation,Health Care,Health Care Equipment,10085487616.0,145.42,0.013619210467825398
SWKS,Skyworks Solutions,Information Technology,Semiconductors,10060610560.0,66.86,0.01358561706368038
HSIC,Henry Schein,Health Care,Health Care Distributors,9975580672.0,89.51,0.013470794658971809
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,9829361664.0,47.34,0.01327334387422349
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,9300029440.0,54.04,0.01255854581581119
AOS,A. O. Smith,Industrials,Building Products,8524186112.0,62.72,0.011510864833354062
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,8015654912.0,42.99,0.010824155999239936
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",7907214336.0,17.22,0.010677720340000888
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,7629495296.0,24.0,0.010302694937096023
BLDR,Builders FirstSource,Industrials,Building Products,7555423232.0,70.22,0.01020266972584081
TTD,Trade Desk (The),Communication Services,Advertising,6235310592.0,13.27,0.008420019984952305
