,mp_weight,bm_weight,active,sector,block
ADBE,0.13,0.148,-0.02,Information Technology,콜
MAR,0.13,0.127,0.0,Consumer Discretionary,콜
FANG,0.06,0.078,-0.02,Energy,콜
VRSK,0.06,0.033,0.03,Industrials,콜
PDD,0.06,0.0,0.06,BM외(S&P500 미편입),콜
DXCM,0.06,0.046,0.01,Health Care,콜
WDAY,0.06,0.066,-0.01,Information Technology,콜
CCEP,0.06,0.0,0.06,BM외(S&P500 미편입),콜
CSX,0.06,0.129,-0.07,Industrials,콜
ABNB,0.06,0.154,-0.09,Consumer Discretionary,콜
FAST,0.06,0.079,-0.02,Industrials,콜
KDP,0.06,0.06,0.0,Consumer Staples,콜
IDXX,0.06,0.06,0.0,Health Care,콜
BKR,0.06,0.083,-0.02,Energy,콜
TTD,0.06,0.008,0.05,Communication Services,콜
ADSK,0.06,0.073,-0.01,Information Technology,콜
PCAR,0.06,0.092,-0.03,Industrials,콜
LULU,0.06,0.019,0.04,Consumer Discretionary,콜
TEAM,0.06,0.0,0.06,BM외(S&P500 미편입),콜
MDB,0.06,0.0,0.06,BM외(S&P500 미편입),콜
MDLZ,0.06,0.112,-0.05,Consumer Staples,콜
ODFL,0.06,0.057,0.0,Industrials,콜
ROP,0.06,0.055,0.0,Information Technology,콜
REGN,0.06,0.115,-0.06,Health Care,콜
PAYX,0.06,0.061,-0.0,Industrials,콜
CPRT,0.06,0.042,0.02,Industrials,콜
