ticker,mp_weight,bm_weight_approx,sector,price,vol_1y,vol_3y,pe_now,pe_hist_med,pe_hist_p25,pe_hist_p75,ma50,ma200,px_vs_ma50,px_vs_ma200,resistance,support,upside_to_resist,downside_to_support,hi_52w,lo_52w,ps_hist_med,ps_now,val_basis,fwd_growth,growth_1y,growth_2y,target_median,target_mean,target_upside,n_analysts,growth,pe_revert_full,exp_ret_none,exp_ret_half,exp_ret_full,Security,GICS Sector,active,tilt,alpha_contrib,alpha_contrib_self,risk_contrib
MU,7.45,1.3885027687981897,Information Technology,910.4299926757812,0.8140650393451023,0.6381926578516641,5.8727856,13.061753626083354,9.954525855279735,108.66859436035156,962.8355541992188,574.4107915496826,-0.0544283614111267,0.5849806550805989,1213.3734130859375,321.75048828125,0.3327476278761383,-0.6465950255707025,1213.3734130859375,116.23343658447266,,,fwd_pe,2.7176315443901102,1.112,3.324380904252809,1545.0,1515.1136,0.6970003321828164,39.0,0.5,0.5,0.5,0.875,1.25,Micron Technology,Information Technology,6.061497231201811,3.0,3.0520233560420427,4.130967849670743,3.396125223634773
AVGO,7.42,2.304863353915394,Information Technology,358.760009765625,0.4817612509955431,0.4997226677396352,18.394054,26.87799836593082,19.290729958382904,73.45299949710365,387.9047534179688,368.3406185913086,-0.0751337625938813,-0.0260101882391465,410.6685485839844,338.0853271484375,0.1446887540567043,-0.0576281694013056,480.8090515136719,291.86151123046875,,,fwd_pe,2.2345155124585365,0.67730004,0.6911070659495213,527.5,526.30005,0.4703422500869354,47.0,0.5,0.4612329813716336,0.5,0.8459247360287252,1.1918494720574504,Broadcom,Information Technology,5.115136646084606,1.8,1.4161344500259556,3.337290187494361,2.126831891794831
ORCL,2.97,0.5540908635376816,Information Technology,142.4499969482422,0.6723640193001597,0.5051870347901407,13.05092,30.37945364983043,27.3303449966617,35.097722523772774,144.3931886291504,171.57789768218993,-0.013457640899523,-0.1697648772215447,161.98870849609375,137.38204956054688,0.1371618951662789,-0.0355770270008268,324.62994384765625,114.98999786376952,,,fwd_pe,0.8722022662003905,0.3554,0.1960474442344517,240.0,246.42635,0.6848017208958008,40.0,0.1960474442344517,0.5,0.1960474442344517,0.4950593052930647,0.7940711663516775,Oracle Corporation,Information Technology,2.415909136462319,3.0,1.1869632285017706,0.7285627930726899,0.7991943272848674
NVDA,10.0,6.818855425401011,Information Technology,208.47999572753903,0.3678752633892742,0.4679814608086132,15.986504,38.50046975272042,31.628033613958277,66.29832722674841,207.64919921875,195.17145843505855,0.0040009617755079,0.0681889524174907,235.465576171875,192.52999877929688,0.1294396632643986,-0.0765061266074041,235.465576171875,164.97772216796875,,,fwd_pe,0.9970901705588664,0.44619998,0.6534697651154506,300.0,304.72882,0.4389869826746722,51.0,0.5,0.5,0.5,0.875,1.25,Nvidia,Information Technology,3.1811445745989886,1.3,0.7809597527131326,2.167980197232134,1.099633465871394
META,5.16,1.9230813044079105,Communication Services,559.02001953125,0.3868294897082889,0.3744549135675298,16.107914,21.306885737685327,18.881005654622346,25.65942412243537,592.7924938964844,623.031086730957,-0.0569718319866781,-0.1027413696731778,671.673095703125,542.8699951171875,0.201518858423598,-0.0288898856030319,777.7011108398438,525.233154296875,,,fwd_pe,0.3071443018630468,0.113800004,0.2018217334227248,750.0,754.14246,0.3416335261640373,51.0,0.2018217334227248,0.322758846222132,0.2018217334227248,0.3957710314448253,0.5897203294669262,Meta Platforms,Communication Services,3.23691869559209,1.5,0.4795268788832142,0.6547655818593123,0.6608191636486245
ANET,3.44,0.3204436739465781,Information Technology,188.1499938964844,0.5426596350407852,0.5047481494650676,36.466286,30.6733035371231,26.99531581976933,38.820627665840455,177.9906005859375,149.23684970855712,0.057078257374842,0.2607475584208611,210.5,136.42999267578125,0.1187882371966062,-0.2748870736034051,210.5,116.12999725341795,,,fwd_pe,0.6327720898146854,0.2545,0.3158252061555753,248.0,241.81519,0.3180973055807998,27.0,0.3158252061555753,-0.1588585813997317,0.3158252061555753,0.211310143345633,0.1067950805356909,Arista Networks,Information Technology,3.119556326053422,6.0,0.3887178983802012,0.05558933088819357,1.2288393294242819
VRT,2.37,0.1325535935893946,Industrials,254.97000122070312,0.6536198326737142,0.6260874077483681,28.022408,41.04198808429622,29.477372408389115,70.77123522758484,293.02913970947264,253.48175735473632,-0.1298817534887613,0.0058712069913735,357.9599914550781,234.17127990722656,0.4039298338678927,-0.0815732094516997,376.1517333984375,121.68595886230467,,,fwd_pe,1.0632177648687438,0.35650003,0.4718622800481609,345.0,338.15384,0.3531003582706442,28.0,0.4718622800481609,0.4646131797201804,0.4718622800481609,0.8137855870698463,1.1557088940915317,Vertiv,Industrials,2.2374464064106054,10.0,0.35711846778254897,1.387876977445771,1.1527628928755504
AAPL,3.83,6.1160705475200405,Information Technology,310.3399963378906,0.2503054462241553,0.2686760888505567,32.535477,28.036079713550393,25.476833412182895,30.65112813551822,310.2930651855469,281.23501052856443,0.0001512478286154,0.1034899095764254,314.92840576171875,274.91290283203125,0.0147851049751008,-0.1141557450664116,339.78692626953125,225.9553375244141,,,fwd_pe,0.0938658437372841,0.0809,0.130331868987271,335.0,324.45282,0.0794612488016535,39.0,0.130331868987271,-0.1382920338450733,0.130331868987271,0.0521739224461947,-0.0259840240948817,Apple Inc.,Information Technology,-2.2860705475200405,0.35,0.26067894953617843,0.32305970263796013,-0.238905261978632
AMZN,8.19,3.8172041928663134,Consumer Discretionary,262.07000732421875,0.3443302380685691,0.3223164294331614,25.222055,33.020942629948365,31.093150908933623,37.800424489816194,250.1399996948242,238.3897499847412,0.0476933223153008,0.0993342093818767,274.989990234375,227.0099945068359,0.0492997388067089,-0.1337810960336581,284.0199890136719,198.7899932861328,,,fwd_pe,-0.1634050040728244,-0.1671,0.2091042363639728,325.0,327.004,0.2401266490519371,53.0,0.2091042363639728,0.3092090485865788,0.2091042363639728,0.3960372216480257,0.5829702069320788,Amazon,Consumer Discretionary,4.372795807133686,1.2,0.20393028661376697,0.8856953847497554,0.8853586884697661
KLAC,1.43,0.3203495559973014,Information Technology,181.57000732421875,0.5965107175446936,0.4844606428381584,27.494612,24.35549285889661,19.234587390970734,31.50562472598749,218.65761596679687,168.45722434997558,-0.169614986784681,0.0778404311530203,193.03517150878903,130.23875427246094,0.0631445928406977,-0.282707776511231,301.3693542480469,83.93718719482422,,,fwd_pe,0.8293184861092058,0.21190001,0.3252699444007303,230.0,231.77779,0.2667290341036485,23.0,0.3252699444007303,-0.1141721563884367,0.3252699444007303,0.2496154807262227,0.1739610170517154,KLA Corporation,Information Technology,1.1096504440026984,2.5,0.08126915401592705,0.06227909191220262,0.42930762406373413
