,mp_weight,bm_weight,active,sector,block
CCEP,0.08,0.0,0.08,,콜
TEAM,0.08,0.0,0.08,,콜
DXCM,0.08,0.046,0.03,Health Care,콜
IDXX,0.08,0.06,0.02,Health Care,콜
KDP,0.08,0.06,0.02,Consumer Staples,콜
LULU,0.08,0.019,0.06,Consumer Discretionary,콜
CSX,0.08,0.129,-0.05,Industrials,콜
MDB,0.08,0.0,0.08,,콜
MDLZ,0.08,0.112,-0.03,Consumer Staples,콜
ADSK,0.08,0.073,0.01,Information Technology,콜
CPRT,0.08,0.042,0.04,Industrials,콜
FAST,0.08,0.079,0.0,Industrials,콜
PAYX,0.08,0.061,0.02,Industrials,콜
PCAR,0.08,0.092,-0.01,Industrials,콜
PDD,0.08,0.0,0.08,,콜
REGN,0.08,0.115,-0.04,Health Care,콜
ROP,0.08,0.055,0.02,Information Technology,콜
ODFL,0.08,0.057,0.02,Industrials,콜
