ticker,price,vol_1y,vol_3y,pe_now,pe_hist_med,pe_hist_p25,pe_hist_p75,ma50,ma200,px_vs_ma50,px_vs_ma200,resistance,support,upside_to_resist,downside_to_support,hi_52w,lo_52w,ps_hist_med,ps_now,val_basis,fwd_growth,growth_1y,target_median,target_mean,target_upside,n_analysts,growth,pe_revert_full,exp_ret_none,exp_ret_half,exp_ret_full
AAPL,310.3399963378906,0.25030546763031564,0.268676034942283,32.535477,28.036081758964478,25.476833412182895,30.65112813551822,310.2930651855469,281.2350103759766,0.00015124782861541952,0.10348991017513876,314.92840576171875,274.91290283203125,0.014785104975100882,-0.11415574506641168,339.78692626953125,225.955322265625,,,fwd_pe,0.09386584373728413,0.0809,335.0,324.45282,0.0794612488016535,39.0,0.0809,-0.13829197097788126,0.08089999999999997,0.006160104285003909,-0.06857979142999193
ABBV,264.5199890136719,0.2637156245211067,0.2458570408193041,16.24614,53.69184998904957,21.832472742233165,75.25777052223431,248.06460723876953,224.0369723510742,0.06633506471587691,0.1806979278364791,265.9700012207031,210.77859497070312,0.005481673473668236,-0.20316572007792988,265.9700012207031,195.98501586914062,,,fwd_pe,3.586484543405387,0.16209999,280.0,276.5862,0.05852113877688092,24.0,0.16209999,0.5,0.16209998999999997,0.4526249874999999,0.7431499850000001
ABNB,190.2100067138672,0.3430795308236669,0.36566011020288397,30.984732,36.98540197961812,27.765206756963053,64.85752939750644,154.7845004272461,136.51194999694823,0.22886985575970042,0.3933579200803987,190.2100067138672,137.57000732421875,0.0,-0.2767467406109436,190.2100067138672,111.54000091552734,,,fwd_pe,0.401559322830354,0.16149999,177.0,176.75641,-0.06944958859992578,40.0,0.16149999,0.19366538266711864,0.16149999000000004,0.2739711600156023,0.38644233003120454
ABT,116.66999816894531,0.26536358171031943,0.22577378579821836,19.237017,28.133771744721308,20.65101695225782,32.1978908374997,100.20677200317382,105.84403568267822,0.16429255065965065,0.1022822156812262,128.2073516845703,104.64248657226562,0.098888777720886,-0.10309001273200602,133.5335235595703,81.97532653808594,,,fwd_pe,0.9627410008526787,0.098900005,120.0,120.2,0.02854205779820651,25.0,0.098900005,0.4624809940502368,0.09890000499999996,0.35301018833710507,0.6071203716742102
ADBE,276.2699890136719,0.3915705550882478,0.3583591093974516,10.049693,38.690796106229655,27.810701864019865,44.17228448691173,233.89719818115233,270.13349983215335,0.18115989059305448,0.022716505673422205,283.6199951171875,225.35000610351562,0.02660443188113315,-0.18431239343784223,367.4599914550781,193.41000366210938,,,fwd_pe,0.5726767971917153,0.1261,250.0,270.60587,-0.09508810243001764,35.0,0.1261,0.5,0.1261000000000001,0.4076250000000001,0.6891500000000002
ADI,371.1700134277344,0.35219451648237576,0.3511735401340054,22.7199,33.019285656156995,27.03774839711163,53.49654565777695,387.7898010253906,341.3899961090088,-0.042857722285914446,0.08723166366367852,445.4800109863281,302.2720642089844,0.20020474410727607,-0.18562369460420924,445.4800109863281,223.0958709716797,,,fwd_pe,0.9379334856227359,0.2718,461.0,470.25,0.2420184371649281,30.0,0.2718,0.4533200258873058,0.27180000000000004,0.5600662044617377,0.8483324089234756
ADP,283.010009765625,0.27103973473437365,0.21713162175370349,21.122608,26.278658018007384,25.12605692669477,28.542411972382265,250.6283999633789,233.36093803405763,0.12920167789036507,0.21275656564390988,299.62353515625,243.58445739746094,0.0587029603807423,-0.1393079785439899,299.62353515625,187.36843872070312,,,fwd_pe,0.22360188666096525,0.093100004,286.0,287.26666,0.01056496283241426,18.0,0.093100004,0.24410101337900048,0.09310000400000007,0.2265134133504949,0.3599268227009895
ADSK,254.4199981689453,0.3610622499329905,0.30829409332926916,17.880825,52.13309287049442,49.05517110000931,56.815966866896204,220.74539978027343,249.2188498687744,0.15254949105254778,0.02086980299808605,264.1199951171875,218.63999938964844,0.038125921775225446,-0.14063359420173205,326.7900085449219,187.72000122070312,,,fwd_pe,1.0771751303421402,0.1296,307.5,314.57352,0.2086314056012506,35.0,0.1296,0.5,0.12959999999999994,0.4119999999999999,0.6943999999999999
AEP,121.9800033569336,0.19149073895123014,0.19508183620662936,17.79909,16.773137506448997,15.35509985846442,18.0189704516307,129.9186541748047,125.0390581893921,-0.06110478028189614,-0.024464794255128375,135.13232421875,111.14848327636719,0.10782358173356132,-0.08879750600491121,137.64207458496094,103.23735809326172,,,fwd_pe,0.18772268694635508,0.0749,142.5,144.0,0.16822426691546744,19.0,0.0749,-0.05764072733780223,0.07489999999999997,0.04392099109229819,0.012941982184596412
ALAB,277.5299987792969,0.9774420106465339,0.9441623460612203,43.408287,99.82377036673124,72.33606713717101,138.26639456827132,349.12089874267576,219.2878998184204,-0.20506048254689535,0.2655965012620549,483.0199890136719,139.2899932861328,0.7404244266861724,-0.49810833459880544,483.0199890136719,100.2699966430664,,,fwd_pe,2.165088730638,0.5856,425.0,389.9527,0.5313659851884238,23.0,0.5,0.5,0.5,0.875,1.25
AMAT,484.19000244140625,0.5901525048593956,0.48648824468449,26.398993,17.758042685052967,14.693627236982318,20.92060492433965,558.7757861328125,395.94266647338867,-0.13348070110124344,0.2228790767967126,722.2277221679688,322.37408447265625,0.49162047652020324,-0.3341992134344657,722.2277221679688,155.39053344726562,,,fwd_pe,0.5852402779151462,0.4338,650.0,641.02856,0.3424482057096152,34.0,0.4338,-0.32732120937139664,0.43379999999999996,0.19914342500164572,-0.035513149996708515
AMD,456.7449951171875,0.7162154504985073,0.5818204548147996,29.494118,136.48143150692894,81.20471882370282,170.43499755859375,509.6001007080078,330.89672538757327,-0.10371878953200087,0.38032491733549323,580.9099731445312,198.11000061035156,0.27184748460240193,-0.5662568769702176,580.9099731445312,151.13999938964844,,,fwd_pe,2.940450092455723,1.0481,605.0,613.0917,0.3245903216624728,46.0,0.5,0.5,0.5,0.875,1.25
AMGN,443.8399963378906,0.2759630041701108,0.26303091802303147,18.19196,19.560736296084585,17.740449976271385,25.909463772968433,378.64421325683594,348.937014465332,0.1721821720719976,0.27197739975501367,443.8399963378906,319.5552978515625,0.0,-0.2800214030096366,443.8399963378906,263.86041259765625,,,fwd_pe,0.5172631206313119,0.0589,395.0,388.48276,-0.11003964658631005,33.0,0.0589,0.07524072700712758,0.05889999999999995,0.0987362029139236,0.13857240582784724
