code,name,market,wics,trade_date,close,mktcap_억,per,eps,cns_per,cns_eps,pbr,bps,foreign_pct,hi52,lo52,error
028050,삼성E&A,KOSPI,건설,2026-08-28,48750.0,95550,14.41,3383.0,12.91,3777.0,1.91,25567.0,38.61,67300.0,23150.0,
047040,대우건설,KOSPI,건설,2026-08-28,19690.0,80908,,-1362.0,14.47,1361.0,2.14,9216.0,10.91,40350.0,3320.0,
002380,KCC,KOSPI,건축자재,2026-08-28,473500.0,40687,1.14,413917.0,2.37,199434.0,0.32,1498027.0,20.37,731000.0,336000.0,
006360,GS건설,KOSPI,건설,2026-08-28,37150.0,31794,24.36,1525.0,21.04,1766.0,0.64,57609.0,19.24,44850.0,17790.0,
375500,DL이앤씨,KOSPI,건설,2026-08-28,73300.0,28362,5.06,14481.0,6.36,11520.0,0.55,132181.0,24.97,106600.0,38450.0,
060370,LS마린솔루션,KOSDAQ,건설,2026-08-28,33800.0,17657,95.48,354.0,,,2.72,12432.0,2.54,54900.0,21650.0,
097230,HJ중공업,KOSPI,건설,2026-08-28,17160.0,15495,10.81,1588.0,,,2.06,8339.0,5.71,34350.0,12910.0,
294870,IPARK현대산업개발,KOSPI,건설,2026-08-28,23150.0,15258,8.28,2796.0,4.17,5549.0,0.44,52436.0,17.68,25100.0,16900.0,
012630,HDC,KOSPI,건설,2026-08-28,23200.0,13860,3.14,7378.0,,,0.36,64552.0,24.27,30650.0,15850.0,
300720,한일시멘트,KOSPI,건축자재,2026-08-28,16950.0,12466,12.01,1411.0,,,0.67,25188.0,4.31,21200.0,12710.0,
009240,한샘,KOSPI,가구,2026-08-28,39700.0,9343,78.3,507.0,41.23,963.0,1.62,24466.0,13.07,58600.0,28300.0,
002030,아세아,KOSPI,건축자재,2026-08-28,214500.0,4416,15.95,13450.0,,,0.29,739529.0,5.4,402000.0,157800.0,
034020,두산에너빌리티,KOSPI,기계,2026-08-28,88200.0,564975,311.66,283.0,176.75,499.0,6.91,12767.0,23.88,139200.0,57000.0,
