순위,종목명,종목코드,시장,업종(WICS),저장소폴더,종가,시가총액(억),후행PER,선행PER(26E),PBR,2026E EPS,2026E BPS,2026E DPS,업종중앙PER,목표가,상방(%),비고
167,디앤디파마텍,347850,KOSDAQ,생물공학,16_건강관리,60900,27915,,,33.35,,,,25.1,,,2026E EPS 없음·적자
168,올릭스,226950,KOSDAQ,생명과학도구및서비스,16_건강관리,131900,27782,,,19.58,,,,25.1,,,2026E EPS 없음·적자
169,현대엘리베이터,017800,KOSPI,기계,06_기계,71000,27756,10.59,16.82,1.9,4221,35452,8000,40.2,169811,139.2,
170,현대무벡스,319400,KOSDAQ,기계,06_기계,24600,27399,249.12,,16.9,,,,40.2,,,2026E EPS 없음·적자
171,티에스이,131290,KOSDAQ,반도체와반도체장비,22_반도체,244500,27045,70.74,20.48,6.91,11938,46800,600,23.6,,,사이클 — 정점 EPS에 정상 배수 적용 불가
172,iM금융지주,139130,KOSPI,은행,17_은행,17060,27017,6.33,5.68,0.44,3003,40967,752,8.0,23874,39.9,
173,효성,004800,KOSPI,복합기업,08_상사자본재,159000,26617,8.07,6.73,1.09,23635,164318,5667,13.5,319309,100.8,
174,에코프로머티,450080,KOSPI,전기제품,06_기계,37550,26591,114.85,,2.48,,,,40.2,,,2026E EPS 없음·적자
175,에스엘,005850,KOSPI,자동차부품,10_자동차,56900,26429,8.5,6.86,1.03,8294,60723,3343,10.6,87916,54.5,
176,동서,026960,KOSPI,식품,15_필수소비재,26500,26420,18.24,,1.52,,,,9.5,,,2026E EPS 없음·적자
